Name,Category,Duration (seconds)
A001,Alumni's Open,413.04
A003,Alumni's Open,1326.05
A004,Alumni's Open,1037.38
A005,Alumni's Open,742.4
A006,Alumni's Open,641.86
A009,Alumni's Open,733.84
A010,Alumni's Open,950.81
A011,Alumni's Open,837.54
A012,Alumni's Open,684.49
A014,Alumni's Open,732.02
A015,Alumni's Open,609.05
A017,Alumni's Open,722.94
A018,Alumni's Open,635.53
A019,Alumni's Open,677.54
A020,Alumni's Open,1041.72
A021,Alumni's Open,628.38
A022,Alumni's Open,846.92
A023,Alumni's Open,629.88
A024,Alumni's Open,850.05
A026,Alumni's Open,581.49
A027,Alumni's Open,601.08
A029,Alumni's Open,558.95
A030,Alumni's Open,851.14
A031,Alumni's Open,946.76
D001,Duo's Challenge,735.63
D002,Duo's Challenge,874.41
D003,Duo's Challenge,565.27
D004,Duo's Challenge,566.23
D005,Duo's Challenge,565.77
D006,Duo's Challenge,656.77
D009,Duo's Challenge,1103.95
D010,Duo's Challenge,1102.2
D011,Duo's Challenge,957.98
D012,Duo's Challenge,622.13
D013,Duo's Challenge,1034.03
D014,Duo's Challenge,1025.06
D015,Duo's Challenge,648.94
D016,Duo's Challenge,647.68
D017,Duo's Challenge,793.84
D018,Duo's Challenge,794.7
D019,Duo's Challenge,666.31
D020,Duo's Challenge,663.08
D021,Duo's Challenge,470.7
D022,Duo's Challenge,436.1
D023,Duo's Challenge,641.76
D024,Duo's Challenge,497.19
D025,Duo's Challenge,793.3
D026,Duo's Challenge,783.93
D027,Duo's Challenge,1096.41
D028,Duo's Challenge,1330.4
D031,Duo's Challenge,1038.35
D032,Duo's Challenge,964.98
D035,Duo's Challenge,870.74
D036,Duo's Challenge,869.94
D037,Duo's Challenge,754.18
D038,Duo's Challenge,839.76
D039,Duo's Challenge,898.03
D040,Duo's Challenge,1180.79
D041,Duo's Challenge,772.85
D042,Duo's Challenge,772.03
D043,Duo's Challenge,1034.67
D045,Duo's Challenge,554.68
D046,Duo's Challenge,558.6
D047,Duo's Challenge,723.38
D048,Duo's Challenge,724.3
D049,Duo's Challenge,460.8
D050,Duo's Challenge,468.38
D051,Duo's Challenge,513.89
D052,Duo's Challenge,716.85
D053,Duo's Challenge,1481.99
D054,Duo's Challenge,1481.33
D055,Duo's Challenge,519.9
D056,Duo's Challenge,525.15
D057,Duo's Challenge,564.67
